instance,processing_time,analysed_commits,git_log_command_calls,step2,step3,step4,step5,tp_introduced,fp_introduced,fn_introduced,tp_container_change,fp_container_change,fn_container_change,tp_body_change,fp_body_change,fn_body_change,tp_documentation_change,fp_documentation_change,fn_documentation_change,tp_rename,fp_rename,fn_rename,tp_modifier_change,fp_modifier_change,fn_modifier_change,tp_access_modifier_change,fp_access_modifier_change,fn_access_modifier_change,tp_return_type_change,fp_return_type_change,fn_return_type_change,tp_type_change,fp_type_change,fn_type_change,tp_exception_change,fp_exception_change,fn_exception_change,tp_parameter_change,fp_parameter_change,fn_parameter_change,tp_annotation_change,fp_annotation_change,fn_annotation_change,tp_moved,fp_moved,fn_moved,tp_all,fp_all,fn_all
"src/main/java/org.apache.commons.lang3.time.DateUtils#modify(Calendar, int, ModifyType)$min(1082)",18887,123,5,98,16,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"src/main/java/org.apache.commons.lang3.time.DateUtils#modify(Calendar, int, ModifyType)$minutes(996)",2325,76,3,60,10,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"src/main/java/org.apache.commons.lang3.time.DateUtils#modify(Calendar, int, ModifyType)$modType(958)",19444,123,5,98,16,4,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"src/main/java/org.apache.commons.lang3.time.DateUtils#modify(Calendar, int, ModifyType)$offset(1046)",19399,123,5,98,16,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"src/main/java/org.apache.commons.lang3.time.DateUtils#modify(Calendar, int, ModifyType)$offsetSet(1047)",19094,123,5,98,16,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"src/main/java/org.apache.commons.lang3.time.DateUtils#modify(Calendar, int, ModifyType)$roundUp(1008)",19125,123,5,98,16,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"src/main/java/org.apache.commons.lang3.time.DateUtils#modify(Calendar, int, ModifyType)$seconds(987)",2313,76,3,60,10,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"src/main/java/org.apache.commons.lang3.time.DateUtils#modify(Calendar, int, ModifyType)$time(974)",2256,76,3,60,10,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"src/main/java/org.apache.commons.lang3.time.DateUtils#modify(Calendar, int, ModifyType)$val(958)",19087,123,5,98,16,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"src/main/java/org.apache.commons.lang3.time.DurationFormatUtils#formatPeriod(long, long, String, boolean, TimeZone)$days(304)",7469,73,3,51,16,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
