instance,processing_time,analysed_commits,git_log_command_calls,step2,step3,step4,step5,tp_introduced,fp_introduced,fn_introduced,tp_container_change,fp_container_change,fn_container_change,tp_body_change,fp_body_change,fn_body_change,tp_documentation_change,fp_documentation_change,fn_documentation_change,tp_rename,fp_rename,fn_rename,tp_modifier_change,fp_modifier_change,fn_modifier_change,tp_return_type_change,fp_return_type_change,fn_return_type_change,tp_type_change,fp_type_change,fn_type_change,tp_exception_change,fp_exception_change,fn_exception_change,tp_parameter_change,fp_parameter_change,fn_parameter_change,tp_annotation_change,fp_annotation_change,fn_annotation_change,tp_method_move,fp_method_move,fn_method_move,tp_all,fp_all,fn_all
"javaparser-symbol-solver-core/src/main/java/com.github.javaparser.symbolsolver.SourceFileInfoExtractor#solve(Node)",4028,79,6,46,27,0,6,1,0,0,3,0,0,27,1,0,13,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46,3,0
"javaparser-core/src/main/java/com.github.javaparser.ast.visitor.VoidVisitorAdapter#visit(MethodDeclaration, A)",3754,92,5,64,19,3,5,1,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,28,0,0
"org.eclipse.jgit/src/org.eclipse.jgit.api.CommitCommand#call()",1190,64,1,23,35,5,1,1,0,0,0,0,0,37,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,50,0,0
"org.eclipse.jgit/src/org.eclipse.jgit.lib.IndexDiff#diff(ProgressMonitor, int, int, String)",690,31,1,10,20,1,0,1,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"org.eclipse.jgit/src/org.eclipse.jgit.api.MergeCommand#call()",1457,53,1,16,32,4,1,1,0,0,0,0,0,33,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,42,0,0
"org.eclipse.jgit/src/org.eclipse.jgit.internal.storage.pack.PackWriter#findObjectsToPack(ProgressMonitor, ObjectWalk, Set, Set, Set)",7732,172,3,129,33,7,2,1,0,0,2,0,0,37,0,0,7,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,61,0,0
"org.eclipse.jgit/src/org.eclipse.jgit.internal.storage.pack.PackWriter#writePack(ProgressMonitor, ProgressMonitor, OutputStream)",6271,171,3,133,34,1,2,1,0,0,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,0
"org.eclipse.jgit/src/org.eclipse.jgit.api.PullCommand#call()",698,38,1,6,24,7,1,1,0,0,0,0,0,28,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,43,0,0
"org.eclipse.jgit/src/org.eclipse.jgit.api.RebaseCommand#call()",2354,85,1,48,33,3,1,1,0,0,0,0,0,31,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,48,0,0
"org.eclipse.jgit/src/org.eclipse.jgit.transport.ReceivePack#getLockMessageProcessName()",1996,21,1,19,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"org.eclipse.jgit/src/org.eclipse.jgit.gitrepo.RepoCommand#call()",1395,68,1,40,26,1,1,1,0,0,0,0,0,27,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
"org.eclipse.jgit/src/org.eclipse.jgit.transport.UploadPack#sendPack(boolean, PackStatistics.Accumulator, Collection, List)",3829,101,1,70,25,6,0,1,0,0,0,0,0,26,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,36,0,0
"src/main/java/org.junit.runners.BlockJUnit4ClassRunner#describeChild(FrameworkMethod)",13872,143,6,124,10,3,6,1,0,0,4,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,22,0,0
"src/main/java/org.junit.runners.BlockJUnit4ClassRunner.runChild.statement#evaluate()",603,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"src/main/java/org.junit.runners.BlockJUnit4ClassRunner#methodBlock(FrameworkMethod)",4392,134,5,105,10,14,5,1,0,0,2,0,0,20,0,0,11,0,0,2,0,0,5,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,54,0,0
"src/main/java/org.junit.runners.BlockJUnit4ClassRunner#possiblyExpectingExceptions(FrameworkMethod, Object, Statement)",4279,133,5,116,3,9,5,1,0,0,2,0,0,9,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,0,29,0,0
"src/main/java/org.junit.runners.BlockJUnit4ClassRunner#runChild(FrameworkMethod, RunNotifier)",15570,131,6,96,23,6,6,1,0,0,4,0,0,25,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,44,0,0
"src/main/java/org.junit.runners.BlockJUnit4ClassRunner#withPotentialTimeout(FrameworkMethod, Object, Statement)",4277,133,5,119,2,7,5,1,0,0,2,0,0,8,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,0,0,26,0,0
"src/main/java/org.junit.runners.Parameterized.RunnersFactory#createRunners()",179,6,1,3,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"src/main/java/org.junit.runners.Parameterized.RunnersFactory#createRunnersForParameters(Iterable, String, ParametersRunnerFactory)",599,36,1,26,2,7,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,16,0,0
"src/main/java/org.junit.runners.ParentRunner#applyValidators(List)",207,17,1,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
